"","year","site","temperature_C","dissolved_oxygen"
"1",2007,"StreamA",13.2,7.18
"2",2007,"StreamB",10.2,NA
"3",2008,"StreamA",12.5,7.27
"4",2008,"StreamB",NA,8.07
"5",2009,"StreamA",13.9,7.46
"6",2009,"StreamB",NA,7.26
"7",2010,"StreamA",11.36,7
"8",2010,"StreamB",11.67,NA
"9",2011,"StreamA",12.97,6.53
"10",2011,"StreamB",NA,NA
"11",2012,"StreamA",13.1,7.5
"12",2012,"StreamB",11.1,9.5
"13",2013,"StreamA",14.47,6.16
"14",2013,"StreamB",11.42,8.78
"15",2014,"StreamA",13.37,7.05
"16",2014,"StreamB",11.37,8.35
"17",2015,"StreamA",12.48,7.34
"18",2015,"StreamB",12.18,8.44
"19",2016,"StreamA",12.63,6.15
"20",2016,"StreamB",12.03,8.23
"21",2017,"StreamA",13.16,6.89
"22",2017,"StreamB",11.96,8.28
"23",2018,"StreamA",12.94,6.03
"24",2018,"StreamB",12.56,7.83
"25",2019,"StreamA",14.1,7.26
"26",2019,"StreamB",13,7.01
"27",2020,"StreamA",12.07,7.53
"28",2020,"StreamB",12.87,7.3
"29",2021,"StreamA",13.43,7.02
"30",2021,"StreamB",13.25,7.42
"31",2022,"StreamA",13.28,6.32
"32",2022,"StreamB",13.78,6.63
