year,site ,temperature_C,DO,main_activities,visitors
2007,StreamA,13.2,7.18,language camp; fishing,1071
2008,StreamA,12.5,7.27,language camp; fishing,929
2009,StreamA,13.9,7.46,language camp; fishing,1044
2010,StreamA,11.36,7,language camp; fishing,1131
2011,StreamA,12.97,6.53,language camp; fishing,953
2012,StreamA,13.1,7.5,language camp; fishing,1111
2013,StreamA,14.47,6.16,language camp; fishing,1126
2014,StreamA,13.37,7.05,language camp; fishing,1202
2015,StreamA,12.48,7.34,language camp; fishing,1216
2016,StreamA,12.63,6.15,language camp; fishing,1515
2017,StreamA,13.16,6.89,language camp; fishing,1699
2018,StreamA,12.94,6.03,language camp; fishing,1524
2019,StreamA,14.1,7.26,language camp; fishing,1568
2020,StreamA,12.07,7.53,language camp; fishing,873
2021,StreamA,13.43,7.02,language camp; fishing,783
2022,StreamA,13.28,6.32,language camp; fishing,798
2007,StreamB,10.2,NA,fishing,553
2008,StreamB,NA,8.07,fishing,526
2009,StreamB,NA,7.26,fishing,636
2010,StreamB,11.67,NA,fishing,698
2011,StreamB,NA,NA,fishing,642
2012,StreamB,11.1,9.5,fishing,541
2013,StreamB,11.42,8.78,fishing,596
2014,StreamB,11.37,8.35,fishing,651
2015,StreamB,12.18,8.44,fishing,700
2016,StreamB,12.03,8.23,fishing,733
2017,StreamB,11.96,8.28,fishing,762
2018,StreamB,12.56,7.83,fishing,844
2019,StreamB,13,7.01,fishing,792
2020,StreamB,12.87,7.3,fishing,485
2021,StreamB,13.25,7.42,fishing,434
2022,StreamB,13.78,6.63,fishing,457
