"Site","Quadrat","Nitrogen"
1,1,84.3952435344779
1,2,87.6982251051672
1,3,105.587083141491
1,4,90.7050839142458
1,5,91.2928773516095
1,6,107.150649868833
1,7,94.609162059892
1,8,77.3493876539347
1,9,83.1314714810647
1,10,85.5433802990004
1,11,102.240817974395
1,12,93.5981382705736
1,13,94.0077145059405
1,14,91.1068271594512
1,15,84.4415886524592
1,16,107.869131368031
1,17,94.9785047822924
1,18,70.3338284337036
1,19,97.0135590156369
1,20,85.2720859227207
1,21,79.3217629401315
1,22,87.8202508534171
1,23,79.7399555169276
1,24,82.7110877070886
1,25,83.7496073215074
1,26,73.1330668925759
1,27,98.3778704449452
1,28,91.5337311783652
1,29,78.6186306298805
1,30,102.538149210699
1,31,94.2646422147681
1,32,87.0492851700773
1,33,98.9512566104502
1,34,98.7813348753304
1,35,98.2158108163749
1,36,96.8864025410009
1,37,95.5391765353759
1,38,89.3808828942328
1,39,86.9403733626008
1,40,86.1952899898762
1,41,83.0529302107949
1,42,87.920827219804
1,43,77.3460364843174
1,44,111.689559653385
1,45,102.07961998305
1,46,78.7689141679665
1,47,85.9711516470092
1,48,85.3334464637678
1,49,97.7996511833632
1,50,89.1663093352817
2,1,73.5464591959266
2,2,69.6003454251182
2,3,69.3998135979216
2,4,89.1604319762024
2,5,66.8392062007702
2,6,91.2305884620136
2,7,48.3174607407769
2,8,78.184592494905
2,9,71.7339594138246
2,10,73.0231819624156
2,11,75.3149527586384
2,12,62.9674716564698
2,13,65.3350966286281
2,14,55.7399446365008
2,15,54.9949228293419
2,16,74.2494009796596
2,17,76.274936900812
2,18,70.7420591742271
2,19,82.9117445503163
2,20,98.70118559878
2,21,63.1255636752085
2,22,37.6716357410286
2,23,84.0803393424716
2,24,60.0711893238465
2,25,60.367879369457
2,26,84.3579991757538
2,27,66.0131779012859
2,28,52.9099520284365
2,29,72.5382487164881
2,30,68.0555209258534
2,31,70.0806986025984
2,32,75.3939256157686
2,33,64.8107595549063
2,34,79.0212716792637
2,35,66.9131881345375
2,36,74.6449474948198
2,37,85.3557461840909
2,38,76.0925408716732
2,39,65.4369578025628
2,40,86.0833066583153
2,41,83.9090539834697
2,42,77.677557433113
2,43,73.3422442915602
2,44,61.2093149354488
2,45,89.0491342794201
2,46,61.5963657799402
2,47,100.622661902232
2,48,91.4565487665926
2,49,66.7001949725933
2,50,55.6301073957051
3,1,72.895934363007
3,2,82.5688370915653
3,3,77.5330812153763
3,4,76.5245740060227
3,5,70.4838143273498
3,6,79.5497227519108
3,7,72.1509553054292
3,8,63.3205806341186
3,9,76.1977347971224
3,10,89.1899660906077
3,11,74.2465303739161
3,12,86.0796432222503
3,13,63.8211729171084
3,14,79.4443803447546
3,15,85.1940720394346
3,16,83.0115336216671
3,17,81.0567619414894
3,18,73.5929399169462
3,19,71.5029565396642
3,20,69.7587120939509
3,21,81.1764659710013
3,22,70.525253858152
3,23,75.0944255629933
3,24,77.4390780780175
3,25,98.4386200523221
3,26,73.4805009830454
3,27,82.3538657228486
3,28,80.7796084956371
3,29,70.3814336586987
3,30,79.286919138764
3,31,94.4455085842335
3,32,84.5150405307921
3,33,80.4123292199294
3,34,75.7750316766037
3,35,59.4675277845948
3,36,91.3133721341418
3,37,65.3935992907518
3,38,87.3994751087733
3,39,99.0910356921748
3,40,65.561068390282
3,41,87.0178433537471
3,42,77.3780251059753
3,43,64.2785584085451
3,44,64.8533234621825
3,45,63.9846382642541
3,46,74.690934778297
3,47,65.382444150041
3,48,86.8791677297583
3,49,101.001089405257
3,50,67.1296952396482
